ㅠㅠ 설명할수 없는 감동이 ㅜㅜ 다들 꼭 보세요~~,10
현존하는 최고의 영화입니다,10
개망작영화 3000원 주고 봤는데도 돈 아까움제발 보지마세요,1
가슴을 울린 영화였다. ,10
"정성화 나문희가 살렸다 의미 없는 유머코드로 감정선이 계속 흔들린다 제발 안중근(정성화) 하는 유머코드라도 뺏으면(배개맞는 씬, 부부가 아니라는 씬) 뮤지컬로 다시 보고싶다 ",6
인생 영화 입니다.많은 메세지가 담겨 있습니다.,10
뮤지컬도 너무 좋아했는데 뮤지컬을 이미 봣어서 그런가 뮤지컬만한 감동은 없었지만 기대 이상으로 만족하고 봣습니다,9
꼭 보세요. 다시한번 나라의 독립을 위해 목숨을 바치신 독립운동가분들께 허리숙여 감사드립니다.특히 윤석렬대통령이 보기를,10
전편보다 스토리측면에선 뻔했지만 눈으로 즐길수있는 최대한의 CG!!,9
1편은 올바름에 대한 정체성을 찾아가는 스토리라면 2편은 가족의 사랑과 책임에 대해서 많은 것을 느끼게 해주네요 한층 업그레이드 된 영상미와 각 캐릭터의 감정선을 잘 다루어서 지루하지 않게 3시간을 즐겼습니다,10
